run_id,stage,candidate_name,checkpoint_path,gamma_base,v5_rules,dqss_rules,v4_rules,mask_mode,rank,alpha,num_lora_modules,mean_retained_energy,min_retained_energy,IconQA,OKVQA,OCRVQA,GQA,TextVQA,SourceAvg,Avg,Delta_vs_exact_baseline,Delta_vs_current_best,required_gqa_for_target,promote_to_full_eval,stop_reason,fusion_log_path,eval_log_path,summary_path,git_commit,pushed_to_public,created_at
smoke-identity_g090-20260507T024718Z,smoke,identity_g090,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-mbldf-identity_g090,0.9,[],[],[],copy_base,32,64,224,1.0,1.0,,,,,,,,,,,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/mbldf_identity_g090_fuse_20260507_104710.log,,,b9b66f8720f239ac31876e8b8e34fd684676bce1,false,2026-05-07T02:47:18.186890+00:00
fused-v5_v_mid_l020-20260507T025156Z,fused,v5_v_mid_l020,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-mbldf-v5_v_mid_l020,0.9,"[{""bands"": [""early"", ""mid""], ""basis"": ""v5"", ""lambda"": 0.2, ""module_groups"": [""v""]}]",[],[],copy_base,32,64,224,0.9963300418848183,0.9413868857791872,,,,,,,,,,,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/mbldf_v5_v_mid_l020_fuse_20260507_105149.log,,,b9b66f8720f239ac31876e8b8e34fd684676bce1,false,2026-05-07T02:51:56.481630+00:00
fused-v5_vo_mid_l020-20260507T025203Z,fused,v5_vo_mid_l020,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-mbldf-v5_vo_mid_l020,0.9,"[{""bands"": [""early"", ""mid""], ""basis"": ""v5"", ""lambda"": 0.2, ""module_groups"": [""v"", ""o""]}]",[],[],copy_base,32,64,224,0.9905282571683551,0.928281429438513,,,,,,,,,,,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/mbldf_v5_vo_mid_l020_fuse_20260507_105156.log,,,b9b66f8720f239ac31876e8b8e34fd684676bce1,false,2026-05-07T02:52:03.884060+00:00
fused-v5_vo_mid_l035-20260507T025211Z,fused,v5_vo_mid_l035,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-mbldf-v5_vo_mid_l035,0.9,"[{""bands"": [""early"", ""mid""], ""basis"": ""v5"", ""lambda"": 0.35, ""module_groups"": [""v"", ""o""]}]",[],[],copy_base,32,64,224,0.9728266670580237,0.7977845251706506,,,,,,,,,,,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/mbldf_v5_vo_mid_l035_fuse_20260507_105204.log,,,b9b66f8720f239ac31876e8b8e34fd684676bce1,false,2026-05-07T02:52:11.820677+00:00
fused-v5_qkv_light_l015-20260507T025225Z,fused,v5_qkv_light_l015,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-mbldf-v5_qkv_light_l015,0.9,"[{""bands"": [""early"", ""mid"", ""late""], ""basis"": ""v5"", ""lambda"": 0.15, ""module_groups"": [""q"", ""k"", ""v""]}]",[],[],copy_base,32,64,224,0.9920921897874324,0.9688310995612198,,,,,,,,,,,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/mbldf_v5_qkv_light_l015_fuse_20260507_105212.log,,,b9b66f8720f239ac31876e8b8e34fd684676bce1,false,2026-05-07T02:52:25.124646+00:00
fused-dqss_qk_late_l015-20260507T025232Z,fused,dqss_qk_late_l015,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-mbldf-dqss_qk_late_l015,0.9,[],"[{""bands"": [""late""], ""basis"": ""dqss"", ""lambda"": 0.15, ""module_groups"": [""q"", ""k""]}]",[],copy_base,32,64,224,0.9988527411785746,0.9714956637338721,,,,,,,,,,,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/mbldf_dqss_qk_late_l015_fuse_20260507_105225.log,,,b9b66f8720f239ac31876e8b8e34fd684676bce1,false,2026-05-07T02:52:32.474593+00:00
fused-v5_vo_mid_l020_dqss_qk_late_l010-20260507T025240Z,fused,v5_vo_mid_l020_dqss_qk_late_l010,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-mbldf-v5_vo_mid_l020_dqss_qk_late_l010,0.9,"[{""bands"": [""early"", ""mid""], ""basis"": ""v5"", ""lambda"": 0.2, ""module_groups"": [""v"", ""o""]}]","[{""bands"": [""late""], ""basis"": ""dqss"", ""lambda"": 0.1, ""module_groups"": [""q"", ""k""]}]",[],copy_base,32,64,224,0.9899951819553682,0.928281429438513,,,,,,,,,,,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/mbldf_v5_vo_mid_l020_dqss_qk_late_l010_fuse_20260507_105232.log,,,b9b66f8720f239ac31876e8b8e34fd684676bce1,false,2026-05-07T02:52:40.319636+00:00
fused-v5_vo_mid_l035_dqss_qk_late_l015-20260507T025247Z,fused,v5_vo_mid_l035_dqss_qk_late_l015,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-mbldf-v5_vo_mid_l035_dqss_qk_late_l015,0.9,"[{""bands"": [""early"", ""mid""], ""basis"": ""v5"", ""lambda"": 0.35, ""module_groups"": [""v"", ""o""]}]","[{""bands"": [""late""], ""basis"": ""dqss"", ""lambda"": 0.15, ""module_groups"": [""q"", ""k""]}]",[],copy_base,32,64,224,0.9716794082365982,0.7977845251706506,,,,,,,,,,,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/mbldf_v5_vo_mid_l035_dqss_qk_late_l015_fuse_20260507_105240.log,,,b9b66f8720f239ac31876e8b8e34fd684676bce1,false,2026-05-07T02:52:47.793876+00:00
fused-v5_mlp_mid_l015_dqss_qk_late_l010-20260507T025256Z,fused,v5_mlp_mid_l015_dqss_qk_late_l010,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-mbldf-v5_mlp_mid_l015_dqss_qk_late_l010,0.9,"[{""bands"": [""early"", ""mid""], ""basis"": ""v5"", ""lambda"": 0.15, ""module_groups"": [""mlp""]}]","[{""bands"": [""late""], ""basis"": ""dqss"", ""lambda"": 0.1, ""module_groups"": [""q"", ""k""]}]",[],copy_base,32,64,224,0.9894585246127132,0.9572176374293799,,,,,,,,,,,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/mbldf_v5_mlp_mid_l015_dqss_qk_late_l010_fuse_20260507_105247.log,,,b9b66f8720f239ac31876e8b8e34fd684676bce1,false,2026-05-07T02:52:56.048701+00:00
partial-v5_v_mid_l020-20260507T040551Z,partial,v5_v_mid_l020,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-mbldf-v5_v_mid_l020,0.9,"[{""bands"": [""early"", ""mid""], ""basis"": ""v5"", ""lambda"": 0.2, ""module_groups"": [""v""]}]",[],[],copy_base,32,64,224,0.9963300418848183,0.9413868857791872,86.34,52.76,54.75,,,,,,,,False,ocrvqa_gate_fail_lt_55.50,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/v5_v_mid_l020_partial_eval_20260507_114107.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/repro_results/mbldf_plus1/v5_v_mid_l020/summary.txt,b9b66f8720f239ac31876e8b8e34fd684676bce1,true,2026-05-07T04:05:51.066586+00:00
